"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"pc1"	"pc2"
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"19"	"BOS-NER-GA-8"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.27559293772481	1.08109751536335	-0.843787599049254	0.287853840637375	0.169783107479975	-0.0298613401616101	0.0126973995352951	-0.0423942884737034	-0.0367868431679642	-0.00362882547217705	-0.00102024372763062	-0.0154347171212886	0	0	81.71	15.93
"20"	"ENG-BUT-GA-1"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	1.50707754475518	0.258456560021067	-1.45812814627809	-0.471201059425476	0.782664470072821	0.200410517362463	0.864770502790034	-0.174531938002642	0.339879430426502	-0.830714632637421	0.574005943086433	0.936326471076128	0	-2.22044604925031e-16	81.71	15.93
"21"	"ENG-BUT-GA-33"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	0.543882446676159	0.318056727803639	-0.597264747222149	0.927265658296168	0.632163932055564	0.200410517362463	0.864770502790034	-0.174531938002642	0.339879430426502	-0.830714632637422	0.574005943086433	0.936326471076128	0	1.38777878078145e-17	81.71	15.93
"22"	"FIN-KEV-GA-37"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.504609057739252	1.11361627142463	-0.603265121557279	0.115923132955997	0.0841016966535498	0.291045239615785	0.312334444094367	0.245876145727076	0.0299964542064865	0.000984509468005855	-9.27494297846128e-05	-0.0014031561019354	0	-2.08166817117217e-17	81.71	15.93
"23"	"FIN-KEV-GA-38"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-1.51505567152918	0.919457954627301	-0.446841598609242	-0.734019938707432	-0.529002124915289	0.108452001959079	-0.353063312446471	0.780621335515182	-0.124255898482888	0.810646358197875	-0.548488825708709	-0.883239230831345	0	-3.46944695195361e-17	81.71	15.93
"24"	"FIN-KEV-GA-39"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	0.591130270657044	0.781974046910891	-0.81280178696309	0.935028523794865	-0.647241208641944	0.332958893792331	0.340404425053635	-0.371127133684839	0.105300932585684	-0.537306554385712	0.365813799522114	0.591164747390789	0	2.77555756156289e-17	81.71	15.93
"25"	"FIN-KEV-GA-41"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	0.580478857805096	0.982760341222237	-0.396288942838085	0.663690923944093	-0.638401734845595	0.587222281650954	-0.402702621027125	0.710594663896669	-0.0765549497612585	0.681837862751908	-0.456316567747349	-0.724573584193649	0	9.0205620750794e-17	81.71	15.93
"26"	"FIN-KEV-GA-42"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.345182604429409	0.836862735811295	-0.572268558913077	0.186134168864407	-0.216108075834776	0.220705447875706	-0.00632944369641821	0.204747100915171	-0.00947748294860231	0.136669901906081	-0.0913375130932975	-0.146037241720278	0	0	81.71	15.93
