"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"11"	"BOS-NER-GA-13"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-2.40576904701308	-1.00033748969284	-0.0638752196426238	-0.15265434138178	0.340183411963937	-0.018349582277217	0.357201043014825	-0.0811147989091335	0.150243594408947	-0.0936269555564047	0.304040497928177	0.0925242492430747	0.889300903261796	-0.332486648829826	-0.338826902838341	-0.56016567410291	0.211833760490902	0.249634599933761	-0.0296105787137081	1.19362993537299	98.56	0.8
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	5.43911936605061	-1.06817288492772	-0.759035620492517	-0.372032263305463	-0.429349830665422	0.193438827040924	1.33320951812402	0.471252454620144	0.740223371426005	-0.896360408312828	1.10859713664477	0.819859225642259	0.494901119722547	0.695583243386819	-0.321036963405546	0.0446098087037793	-0.0366507658514771	0.22587434491732	0.0221281094455558	-0.109767260223266	98.56	0.8
"13"	"BOS-NER-GA-17"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.65100901367261	-0.237445522903036	-0.0534627821980013	-0.0799567247210291	0.140106602620496	-0.0878709133414602	0.0406449442827191	0.00718547936825165	-0.0222707538096481	-0.0434648582402181	0.0031168074261914	-0.00038233072737167	-0.0825636546167217	0.0752879777103333	-0.0797228860297765	0.0138336496492728	-0.0111203787344149	-0.0118806767408109	-0.070432531605979	-0.100117332511015	98.56	0.8
"14"	"BOS-NER-GA-18"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.39079615797627	0.132419653230538	0.0861561420578076	0.0364887217248435	0.211650116818329	-0.0223005240421588	0.112767152135248	-0.0363776391641718	-0.0467853722306182	-0.0621648652512178	0.121605952174601	-0.0251928368909873	0.0791819533160163	0.00907274119846719	0.0247275932897364	0.0636466598078729	-0.0393338508153673	-0.109557585508283	-0.0915331342154696	0.00190010328709738	98.56	0.8
"15"	"BOS-NER-GA-19"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-0.87184223930036	-0.20156684469412	-0.151780104342336	-0.0639462029191656	0.0617337661739642	0.0559959757935997	1.0944174043133	0.00729732865381968	0.0354888997870707	0.00219588328612396	0.010913098845328	-0.00313373919014639	0.00384643964945133	-0.00812566827488515	0.00261346545713721	0.00167167868226111	-0.00156626504066102	-0.000170883418776379	0.00238216486152984	0.00629003354820316	98.56	0.8
"16"	"BOS-NER-GA-2"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-0.784459350418053	-0.163038591021691	-0.12506454965322	-0.0489252827355676	0.0864128798038237	0.0517174890878635	-0.00839541223935701	0.00792735706790179	0.00532576793654428	-0.00102146542407492	-0.0159916066743013	0.00456761437283514	-0.0141222395960619	-0.00833988604001295	-0.00842760767932548	-0.00704197949819608	0.00470149024757891	0.016933087317194	0.0124299115155603	0.0010807266514207	98.56	0.8
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.38284010476251	0.135927580702059	0.088588544756556	0.0378563492069393	0.213897105259877	-0.0226900724805383	0.114335700009018	-0.0373222788212225	-0.0476202130778644	-0.062563300883695	0.123880726195085	-0.0257536659970709	0.0809714193220435	0.00983500991916754	0.0256483132347557	0.0647376449775697	-0.0400437391995504	-0.111816764651067	-0.093263373859646	0.00183446269623946	98.56	0.8
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-0.517114231541927	0.0568909292050531	-0.0193035370660906	0.0257169151149216	0.161138986685164	0.0699520244502603	0.0555070747123029	-0.0136047623286433	-0.0949500308308593	-0.028616967022012	-0.0246594151664861	-0.137581580427392	0.271599424676077	0.100455986309282	0.09646993180343	0.0660361616500164	-0.122422936861508	-0.0906338782006219	-0.0695818636109411	0.0402829999773903	98.56	0.8
"19"	"BOS-NER-GA-8"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-7.38973409095363	0.251478234594202	0.232829873030808	0.9592154591765	-0.302482136663432	0.0220903674122555	-0.224431284753186	-0.195631180649903	0.211675276534258	0.070059074522736	0.516596559538271	0.349775401362704	-0.120811222842598	0.20604308246121	0.235768055372351	-0.317211139434714	0.483073435871469	-0.0479448055447847	0.190784010756628	0.00432955894760802	98.56	0.8
"20"	"ENG-BUT-GA-1"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	-1.31460389922661	0.449450346869516	-0.0382108917974632	-0.403034611121432	0.406111371891924	0.222907846209899	-0.0469393763952974	0.0333452485888021	0.306672778332107	0.0510679584672287	0.0328101512228918	-0.0701919022837394	0.183149064165476	-0.225693314383834	0.117456642824807	-0.00302690852508379	0.0217906520520634	0.0450799899136759	0.171072464549123	0.232980835284594	98.56	0.8
