"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"pc1"	"pc2"
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	3.73009332133506	0.0684674784814203	-0.140440863334875	-0.0414891544750291	0.0264906923889298	0.0554491106676652	-0.0343815534122252	-0.0411269408648607	0.050428395335831	-0.1401265728323	0.0466617435947313	-0.121827947669875	0.0131491268452333	98.62	0.72
"19"	"BOS-NER-GA-8"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	3.82249033559381	0.0564799334873216	0.00833317711507753	-0.0725265202516038	0.0092194106738447	0.0334780549877556	-0.0151537853137822	-0.0158437129675433	0.0201049937985549	-0.176431923964714	-0.000640588810544186	0.0119640216369904	0.0131491268452369	98.62	0.72
"20"	"ENG-BUT-GA-1"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	3.04003064195569	0.0440626560860318	0.271105924844356	0.00949739453847193	0.236688838229571	0.276052597259153	0.1157656237457	0.0782117922209605	-0.0882161968577129	-0.107255873655864	-0.1039926493548	0.268340564015325	0.0176919754205675	98.62	0.72
"21"	"ENG-BUT-GA-33"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	3.04003064195569	0.0440626560860318	0.271105924844356	0.00949739453847193	0.236688838229571	0.276052597259153	0.1157656237457	0.0782117922209605	-0.0882161968577129	-0.107255873655864	-0.1039926493548	0.268340564015325	0.0176919754205675	98.62	0.72
"22"	"FIN-KEV-GA-37"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"23"	"FIN-KEV-GA-38"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"24"	"FIN-KEV-GA-39"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"25"	"FIN-KEV-GA-41"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"26"	"FIN-KEV-GA-42"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"27"	"FIN-KEV-GA-44"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"28"	"FIN-KEV-GA-46"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"29"	"FIN-KEV-GA-47"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"30"	"FIN-KEV-GA-48"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"31"	"GA-POR-LI-1"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.176387554519327	0.0799809158494012	-0.0936330847869739	-0.0505633168943843	0.000556663236894208	-0.000436592207611675	-0.000362353371912224	-0.000691301292054803	0.000648205528996812	0.000424983732651134	3.37152004919252e-05	-0.000629685349315294	-0.000692059307644059	98.62	0.72
"32"	"GA-POR-LI-2"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.95023801394731	0.0610776949304778	-0.227578403692945	0.078780059939018	-0.093076518206193	-0.142443398832254	0.109024941647511	0.138849051719438	-0.170327420825472	-0.211301186944427	0.861510825625617	-0.0132249477801354	-0.0145332454605252	98.62	0.72
"33"	"GA-POR-LI-3"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	2.60950833659272	0.723265845989262	0.669866896530713	0.757504179484006	0.307715679414581	0.214492363554495	1.2838732926819	1.43550210539781	-0.0123722388866756	-0.00806922860489044	-0.000640588809346589	0.0119640216369907	0.013149126845237	98.62	0.72
"34"	"GA-POR-LI-4"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-3.94937033913453	0.0609141901567226	-0.227701710536979	0.079194103114259	-0.0976319508841257	0.923052482036642	0.109696881877562	-0.014517327133308	0.0136123161089325	0.0089246583856737	0.000708019210330203	-0.0132233923356211	-0.0145332454605254	98.62	0.72
"35"	"GA-POR-LI-5"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.176387554519327	0.0799809158494012	-0.0936330847869739	-0.0505633168943843	0.000556663236894208	-0.000436592207611675	-0.000362353371912224	-0.000691301292054803	0.000648205528996812	0.000424983732651134	3.37152004919252e-05	-0.000629685349315294	-0.000692059307644059	98.62	0.72
"36"	"GA-POR-LI-6"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
"37"	"GA-POR-LI-7"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.22769127733085	0.113361030102867	-0.188149016357141	-0.0536170414407801	0.0116899279747784	-0.00916843635984502	-0.00760942081015649	-0.0145173271331512	0.0136123161089327	0.0089246583856737	0.000708019210330203	-0.0132233923356211	-0.0145332454605254	98.62	0.72
"38"	"GA-POR-LI-8"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-4.22769127733085	0.113361030102867	-0.188149016357141	-0.0536170414407801	0.0116899279747784	-0.00916843635984502	-0.00760942081015649	-0.0145173271331512	0.0136123161089327	0.0089246583856737	0.000708019210330203	-0.0132233923356211	-0.0145332454605254	98.62	0.72
"39"	"GA-POR-LI-9"	"GA-POR-LI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.176387554519327	0.0799809158494012	-0.0936330847869739	-0.0505633168943843	0.000556663236894208	-0.000436592207611675	-0.000362353371912224	-0.000691301292054803	0.000648205528996812	0.000424983732651134	3.37152004919252e-05	-0.000629685349315294	-0.000692059307644059	98.62	0.72
"40"	"GA-POR-MI-1"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.8749161682922	0.0466008015959356	0.000882846783192615	-0.0475095923479885	-0.0105766015009904	0.00829525194462171	0.00688471406633201	0.0131347245490415	-0.0123159050509394	-0.00807469092037159	-0.000640588809346589	0.0119640216369907	0.0131491268452369	98.62	0.72
