"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"pc1"	"pc2"
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	0.444125435679743	0.579817843323484	-0.272309551106004	0.270495662908699	0.299388656451039	-0.317868873382405	0.346624271793294	0.375291344223702	-0.716195002675627	0.80210664438386	-0.000703325880969691	0.378923030763033	0.0762613905909711	0.329211968364331	0.233619848725074	-0.146563835582106	0.760291263197642	0.753616847602752	-0.580716322230821	99.14	0.86
"13"	"BOS-NER-GA-17"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"14"	"BOS-NER-GA-18"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-0.422610807673197	-0.13955560761348	-0.000501121968239681	0.000815866182630322	-0.000292950578858264	0.00136113783652539	-0.000173368941570905	-0.000425950973200464	-0.000331793096189751	-0.000415168322946587	-3.81489790354329e-06	0.00145930758513927	-0.000374011722274183	0.00101840553462131	0.000333922358883718	-0.000107683898621811	-0.00065688099731305	8.47207354525148e-05	0.00113915606859202	99.14	0.86
"15"	"BOS-NER-GA-19"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"16"	"BOS-NER-GA-2"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-0.422610807673197	-0.13955560761348	-0.000501121968239681	0.000815866182630322	-0.000292950578858264	0.00136113783652539	-0.000173368941570905	-0.000425950973200464	-0.000331793096189751	-0.000415168322946587	-3.81489790354329e-06	0.00145930758513927	-0.000374011722274183	0.00101840553462131	0.000333922358883718	-0.000107683898621811	-0.00065688099731305	8.47207354525148e-05	0.00113915606859202	99.14	0.86
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-4.66801343543482	0.191147304689844	-0.141074489673339	0.143475038675519	0.146241202654249	-0.144240743561444	-0.951274519920704	0.0907787721090952	0.0989142470167216	-0.118424134858081	-0.000390839045115277	0.204309212987271	0.0341071277876146	0.174886215963608	0.120022522536178	0.827193426654154	-0.311849021052249	-0.303691401991828	-0.277664766613176	99.14	0.86
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	2.57200260947565	-0.883297290137826	-0.677139728466368	0.67215546531235	0.741121338147708	0.312557762744586	-0.346588583555437	-0.373347682355149	-0.409907508661826	0.462093854186085	-0.00174517420123832	0.941115698907845	0.190401793112592	0.81802189479064	0.943332977559451	0.000969155087596282	0.00591192897581748	-0.00076248661907247	-0.312283165351307	99.14	0.86
"19"	"BOS-NER-GA-8"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	2.76958820665705	-0.818050075514661	0.366102706889151	1.31848840082567	1.386153868286	0.242929707727677	-0.268331892135936	-0.288565120487393	-0.317097534793194	0.359064580088996	0.00112311061697867	-0.600649411179198	-0.11591554965011	1.27757053068077	1.46907646577579	0.000969155087596282	0.0059119289758176	-0.00076248661907247	-0.480078032425739	99.14	0.86
"20"	"ENG-BUT-GA-1"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"21"	"ENG-BUT-GA-33"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"22"	"FIN-KEV-GA-37"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
