"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"pc1"	"pc2"
"12"	"BOS-NER-GA-14"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-7.72494212403508	-1.08512455074076	-0.744192042989938	-0.480410645686866	1.03237733740658	0.0187603824985433	0.0194528820721005	0.0548046978761575	0.286615230960523	0.126661469800388	-0.0097325060674732	0.0282680400194019	-0.140916036498663	-0.0760342115984462	0.176544792574455	-0.0234943242251745	0.103196005216434	-0.280805016132564	0.0630013247118401	-0.0106110411345299	96.53	0.94
"13"	"BOS-NER-GA-17"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"14"	"BOS-NER-GA-18"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"15"	"BOS-NER-GA-19"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"16"	"BOS-NER-GA-2"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"17"	"BOS-NER-GA-4"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"18"	"BOS-NER-GA-5"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"19"	"BOS-NER-GA-8"	"BOS-NER-GA"	"Freshwater"	"Adriatic_Sea"	"South"	-8.53632951347876	-0.272974149956681	-0.32838162232169	-0.200303393121335	0.301045542975326	-0.0167958068880326	-0.0404543923622584	-0.0177143063680624	0.0269215450544121	-0.017863703591507	-0.0014433009867494	0.0448321167718674	-0.0248053254884228	-0.0213309036379072	0.0216600356700622	-0.0120612992447052	0.0245799469343197	-0.0134789622236328	0.0127977896197922	0.00771076699189757	96.53	0.94
"20"	"ENG-BUT-GA-1"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	-6.59233821892244	-0.322608674054859	1.23418520044334	1.66351651278658	0.729425968878478	-2.12999451548213	-0.0760924003785673	-0.348992137102696	0.802727463182505	0.184901593282692	-0.514627389372418	-0.624061594406257	1.51088342693986	0.897822036734581	0.877394992482305	-0.184884717699791	-0.232651844986056	1.82045779029931	0.248129038955292	0.406915004363128	96.53	0.94
"21"	"ENG-BUT-GA-33"	"ENG-BUT-GA"	"Freshwater"	"English_Channel"	"North"	-8.69113514648202	0.102740187778598	-0.0290656885880601	0.0241581313582271	-0.00986934339763008	0.0151208694627586	-0.00586905736576133	-0.0411291976243435	0.043915343172087	0.0675610920782696	-0.00440459811720471	0.0413641229841665	-0.0225442401917006	-0.0172855463712031	0.0189007136734097	-0.00802166111077726	0.0210344793087651	-0.0168991099803744	0.0125996001758306	0.00614629077103487	96.53	0.94
"22"	"FIN-KEV-GA-37"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.174069644530554	0.42883591965468	0.717525993909198	-0.219087498447503	-1.22594865583886	-0.302941674500475	0.0303046998753232	-0.438848261313838	-0.352128556236379	0.609345267479466	0.250231829237905	0.267928408849154	-0.171227015133865	-0.11978204747787	0.11827062045567	-0.231452512722143	0.22853549955852	0.158737859956446	-0.433771755947538	0.0275136396076525	96.53	0.94
"23"	"FIN-KEV-GA-38"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-1.66675000930239	-0.326107156951526	0.977392490173006	0.329377461164377	0.194135026472833	0.248325410510588	-0.0105841447852999	-0.19502188576798	1.22944347373931	0.426582252900936	0.140174617937161	-0.391662122576307	-0.241208743816823	0.0734399018772805	-0.457961789012104	-0.0119226891212935	-0.112843719376435	-0.489854978506363	0.0957889197013482	-0.149472558823065	96.53	0.94
"24"	"FIN-KEV-GA-39"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	1.26163853852105	-1.48980644717909	0.363295651333181	-1.13693104764464	0.646728478481054	2.49892565999618	-0.81825215937206	-0.500457219484659	1.29449832645552	-0.924962347959073	0.359622160311078	-0.796989717092366	-0.420465276444526	-0.0603069477801382	-0.741693811814761	-0.323019812373219	-0.487831102244068	-0.90468340159324	0.298594737756714	-0.401276251429731	96.53	0.94
"25"	"FIN-KEV-GA-41"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-3.29596303681024	-0.267994152166766	1.96638407028678	1.03805804142437	0.0715359589403753	0.119690764866985	1.0608145054384	-0.516741168589151	2.61807070637077	0.723048806136598	0.0496520883419093	-0.845857075969285	-0.145839241850594	-0.0468166701247477	-1.42445358751514	0.428504576169262	-0.354548400521745	-0.350977042204173	0.474968079726666	-0.012337209816348	96.53	0.94
"26"	"FIN-KEV-GA-42"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-1.575967254564	0.347454134195635	1.027357362259	-0.375842054736555	0.0781495182339424	0.590159872091652	-1.99889309676585	-0.357070312636697	0.548898559061803	-0.297941995263757	0.15680110230475	-0.33775430208291	-0.147846772964959	0.0774676807603976	0.232947879450273	-0.880982628443862	-0.491170912983744	-0.411559343861552	1.05110371652084	-0.145386391198611	96.53	0.94
"27"	"FIN-KEV-GA-44"	"FIN-KEV-GA"	"Freshwater"	"North_Scandinavia"	"North"	-0.676009700478251	0.315755403079046	0.305400950184247	-0.731860565506948	-0.129150912187672	-0.289188063967942	-0.0640671905306247	-0.149802084203746	-0.0497803515563075	-0.319486312371832	0.0334824265521955	0.0175199355300547	0.0554103201364262	0.209275223093121	-0.164892800698384	0.0755754491942994	-0.0751820517717145	0.0371219685399587	-0.473624408292405	-0.0800317061902555	96.53	0.94
